,index,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,gamma,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot.1,label
105,105,1663,350,104,0.0134,0.0055,701.56,1132.1,23.41,0.01,18.39,0.1075,138,0.0779,0.8543,147,0.068,A
106,106,1663,350,104,0.0134,0.0055,791.04,1132.1,23.41,0.01,18.39,0.1075,138,0.0779,0.8543,147,0.068,A
107,107,1668,387,143,0.0122,0.0058,852.89,1158.32,11.56,0.008117683,4.37,0.0613,196,0.1118,0.8533,230,0.0782,A
108,108,1668,387,143,0.0122,0.0058,791.04,1158.32,11.56,0.008117683,4.37,0.0613,196,0.1118,0.8533,230,0.0782,A
109,109,1642,351,113,0.0128,0.0041,832.76,1097.91,26.9,0.01,22.65,0.1993,74,0.049,0.8509,85,0.0388,A
110,110,1651,395,153,0.0124,0.0042,716.87,1088.43,25.06,0.01,17.18,0.132,86,0.0665,0.8492,62,0.0911,A
111,111,1651,395,153,0.0124,0.0042,791.04,1088.43,25.06,0.01,17.18,0.132,86,0.0665,0.8492,62,0.0911,A
112,112,1425,361,115,0.0145,0.0046,848.83,1061.66,25.73,0.008031677,21.42,0.1773,123,0.0631,0.8487,142,0.042,A
113,113,1425,361,115,0.0145,0.0046,791.04,1061.66,25.73,0.008031677,21.42,0.1773,123,0.0631,0.8487,142,0.042,A
114,114,1161,369,191,0.0148,0.0043,799.66,1034.75,16.37,0.008438929,9.11,0.1293,214,0.0874,0.8454,218,0.0549,A
115,115,1687,349,195,0.0135,0.0044,738.15,1090.02,23.45,0.006523017,14.45,0.11199999999999999,121,0.0896,0.8438,125,0.0879,A
116,116,1749,332,133,0.0136,0.0042,818.47,1155.92,20.35,0.01,12.73,0.16899999999999998,97,0.0583,0.8419,78,0.0547,A
117,117,1806,370,102,0.0149,0.0046,775.78,1121.43,46.67,0.007768199,68.16,0.2006,86,0.0566,0.8418,87,0.0292,A
118,118,1860,372,134,0.0121,0.0048,859.99,1191.13,42.42,0.01,59.36,0.1059,122,0.0737,0.8415,129,0.0383,A
119,119,1347,315,179,0.0149,0.0043,808.27,1004.73,15.15,0.0070732469999999995,6.54,0.1382,178,0.0803,0.8403,213,0.0976,A
120,120,1347,315,179,0.0149,0.0043,791.04,1004.73,15.15,0.0070732469999999995,6.54,0.1382,178,0.0803,0.8403,213,0.0976,A
121,121,1610,389,167,0.0142,0.0043,803.66,1182.51,38.55,0.01,45.71,0.1345,163,0.0757,0.8379,148,0.0687,A
122,122,1189,368,120,0.0134,0.0054,768.73,1035.41,14.8,0.01,7.45,0.0924,165,0.0888,0.8365,190,0.1115,A
123,123,1189,368,120,0.0134,0.0054,791.04,1035.41,14.8,0.01,7.45,0.0924,165,0.0888,0.8365,190,0.1115,A
124,124,1766,351,141,0.0145,0.0049,716.02,1125.28,32.02,0.007573391999999999,31.28,0.1199,170,0.0825,0.8339,160,0.0477,A
125,125,1962,335,110,0.0139,0.0051,788.56,1186.32,36.87,0.00652824,35.75,0.1365,118,0.0695,0.8298,134,0.0748,A
126,126,1962,335,110,0.0139,0.0051,791.04,1186.32,36.87,0.00652824,35.75,0.1365,118,0.0695,0.8298,134,0.0748,A
127,127,1884,394,187,0.0147,0.0053,793.24,1104.47,22.35,0.008224496,16.55,0.0763,206,0.1238,0.8262,199,0.1373,A
128,128,1884,394,187,0.0147,0.0053,791.04,1104.47,22.35,0.008224496,16.55,0.0763,206,0.1238,0.8262,199,0.1373,A
129,129,1533,307,143,0.0128,0.0045,802.48,1157.06,40.29,0.01,47.74,0.1312,165,0.0703,0.8240000000000001,183,0.0763,A
130,130,1789,392,115,0.0122,0.0055,758.21,1143.47,17.15,0.008279557,9.81,0.0773,151,0.0871,0.8228,160,0.0966,A
